Filing Date,Reporting Date,Fund Manager,Fund Name,Fund CIK,Derivative Type,Name,Title,Notional Amount,Notional Amount (Raw),Currency,Expiration Date,Counterparty,Unrealized Gain/Loss,Unrealized Gain/Loss (Raw),Underlying Reference
2025-08-29,2025-08-29,PIMCO FUNDS,PIMCO Emerging Markets Local Currency and Bond Fund,0000810893,SWO,N/A,317U8XWA5 PIMCO SWAPTION 3.85 CALL ILS 2025071,"$40,900,000",40900000.0,ILS,2025-07-10,DEUTSCHE BANK AKTIENGESELLSCHAFT,"$-22,056",-22056.46,DEUTSCHE BANK AKTIENGESELLSCHAFT
2025-08-29,2025-08-29,PIMCO FUNDS,PIMCO Emerging Markets Local Currency and Bond Fund,0000810893,SWO,N/A,317U9N5A6 PIMCO SWAPTION 7.27 CALL ZAR 2025082,"$-190,800,000",-190800000.0,ZAR,2025-08-26,BANK OF AMERICA CORPORATION,"$-2,978",-2977.8,BANK OF AMERICA CORPORATION
2025-08-29,2025-08-29,PIMCO FUNDS,PIMCO Emerging Markets Local Currency and Bond Fund,0000810893,SWO,N/A,317U9MDA9 PIMCO SWAPTION 7.43 CALL ZAR 2025092,"$-199,872,000",-199872000.0,ZAR,2025-09-22,MORGAN STANLEY CAPITAL SERVICES LLC,"$-39,779",-39778.78,MORGAN STANLEY CAPITAL SERVICES LLC
2025-08-29,2025-08-29,PIMCO FUNDS,PIMCO Emerging Markets Local Currency and Bond Fund,0000810893,SWO,N/A,317U8XXA4 PIMCO SWAPTION 3.55 CALL ILS 2025071,"$-40,900,000",-40900000.0,ILS,2025-07-10,DEUTSCHE BANK AKTIENGESELLSCHAFT,"$22,498",22498.45,DEUTSCHE BANK AKTIENGESELLSCHAFT
2025-08-29,2025-08-29,PIMCO FUNDS,PIMCO Emerging Markets Local Currency and Bond Fund,0000810893,SWO,N/A,317U8W4A8 PIMCO SWAPTION 3.55 CALL ILS 2025070,"$-78,700,000",-78700000.0,ILS,2025-07-04,DEUTSCHE BANK AKTIENGESELLSCHAFT,"$56,197",56196.81,DEUTSCHE BANK AKTIENGESELLSCHAFT
2025-08-29,2025-08-29,PIMCO FUNDS,PIMCO StocksPLUS International Fund (Unhedged),0000810893,SWO,N/A,31750QN88 PIMCO CDSOPT PUT USD 0.85 20250716,"$-300,000",-300000.0,USD,2025-07-16,Royal Bank of Canada,$344,344.48,Royal Bank of Canada
2025-08-29,2025-08-29,PIMCO FUNDS,PIMCO StocksPLUS International Fund (Unhedged),0000810893,SWO,N/A,31750QMB2 PIMCO CDSOPT PUT USD 0.9 20250716,"$-300,000",-300000.0,USD,2025-07-16,Royal Bank of Canada,$340,339.66,Royal Bank of Canada
2025-08-29,2025-08-29,PIMCO FUNDS,PIMCO StocksPLUS International Fund (Unhedged),0000810893,SWO,N/A,31750QM06 PIMCO CDSOPT PUT USD 0.9 20250716,"$-400,000",-400000.0,USD,2025-07-16,GOLDMAN SACHS INTERNATIONAL,$425,424.88,GOLDMAN SACHS INTERNATIONAL
2025-08-29,2025-08-29,PIMCO FUNDS,PIMCO StocksPLUS International Fund (Unhedged),0000810893,SWO,N/A,317U7IQA6 PIMCO SWAPTION 3.75 CALL USD 2025103,"$19,100,000",19100000.0,USD,2025-10-30,BARCLAYS BANK PLC,"$-25,823",-25823.29,BARCLAYS BANK PLC
2025-08-29,2025-08-29,PIMCO FUNDS,PIMCO StocksPLUS International Fund (Unhedged),0000810893,SWO,N/A,31750QMA4 PIMCO CDSOPT PUT USD 1.0 20250716,"$-200,000",-200000.0,USD,2025-07-16,JPMORGAN CHASE & CO.,$193,192.55,JPMORGAN CHASE & CO.
2025-08-29,2025-08-29,PIMCO FUNDS,PIMCO StocksPLUS International Fund (Unhedged),0000810893,SWO,N/A,317U7IRA5 PIMCO SWAPTION 3.29 CALL USD 2025103,"$-19,100,000",-19100000.0,USD,2025-10-30,BARCLAYS BANK PLC,"$30,304",30303.88,BARCLAYS BANK PLC
2025-08-29,2025-08-29,PIMCO FUNDS,PIMCO StocksPLUS International Fund (Unhedged),0000810893,SWO,N/A,31750QN05 PIMCO CDSOPT PUT USD 0.85 20250716,"$-100,000",-100000.0,USD,2025-07-16,GOLDMAN SACHS INTERNATIONAL,$130,130.33,GOLDMAN SACHS INTERNATIONAL
2025-08-29,2025-08-29,PIMCO FUNDS,PIMCO StocksPLUS International Fund (Unhedged),0000810893,SWO,N/A,317U7ISA4 PIMCO SWAPTION 2.83 CALL USD 2025103,"$-19,100,000",-19100000.0,USD,2025-10-30,BARCLAYS BANK PLC,"$22,873",22872.52,BARCLAYS BANK PLC
2025-08-29,2025-08-29,PIMCO FUNDS,PIMCO Extended Duration Fund,0000810893,SWO,N/A,317U9GEA1 PIMCO SWAPTION 4.075 PUT USD 2025070,"$-1,900,000",-1900000.0,USD,2025-07-03,MORGAN STANLEY CAPITAL SERVICES LLC,"$7,147",7146.66,MORGAN STANLEY CAPITAL SERVICES LLC
2025-08-29,2025-08-29,PIMCO FUNDS,PIMCO Extended Duration Fund,0000810893,SWO,N/A,317U9JTA9 PIMCO SWAPTION 3.772 CALL USD 202507,"$-500,000",-500000.0,USD,2025-07-10,JPMORGAN CHASE & CO.,"$-3,124",-3124.45,JPMORGAN CHASE & CO.
2025-08-29,2025-08-29,PIMCO FUNDS,PIMCO Extended Duration Fund,0000810893,SWO,N/A,317U9EPA4 PIMCO SWAPTION 3.701 CALL USD 202506,"$-3,700,000",-3700000.0,USD,2025-06-30,Goldman Sachs Bank USA,"$7,211",7211.3,Goldman Sachs Bank USA
2025-08-29,2025-08-29,PIMCO FUNDS,PIMCO Extended Duration Fund,0000810893,SWO,N/A,317U9JLA7 PIMCO SWAPTION 3.79 CALL USD 2025070,"$-3,000,000",-3000000.0,USD,2025-07-09,WELLS FARGO & COMPANY,"$-21,427",-21427.2,WELLS FARGO & COMPANY
2025-08-29,2025-08-29,PIMCO FUNDS,PIMCO Extended Duration Fund,0000810893,SWO,N/A,317U9GFA0 PIMCO SWAPTION 3.725 CALL USD 202507,"$-1,900,000",-1900000.0,USD,2025-07-03,MORGAN STANLEY CAPITAL SERVICES LLC,"$-2,968",-2967.99,MORGAN STANLEY CAPITAL SERVICES LLC
2025-08-29,2025-08-29,PIMCO FUNDS,PIMCO Extended Duration Fund,0000810893,SWO,N/A,317U9LHA7 PIMCO SWAPTION 3.697 CALL USD 202507,"$-1,100,000",-1100000.0,USD,2025-07-16,MORGAN STANLEY CAPITAL SERVICES LLC,"$-4,247",-4246.55,MORGAN STANLEY CAPITAL SERVICES LLC
2025-08-29,2025-08-29,PIMCO FUNDS,PIMCO Extended Duration Fund,0000810893,SWO,N/A,317U9HMA0 PIMCO SWAPTION 4.019 PUT USD 2025070,"$-1,100,000",-1100000.0,USD,2025-07-07,MORGAN STANLEY CAPITAL SERVICES LLC,"$4,108",4108.17,MORGAN STANLEY CAPITAL SERVICES LLC
2025-08-29,2025-08-29,PIMCO FUNDS,PIMCO Extended Duration Fund,0000810893,SWO,N/A,317U9EOA5 PIMCO SWAPTION 4.101 PUT USD 2025063,"$-3,700,000",-3700000.0,USD,2025-06-30,Goldman Sachs Bank USA,"$12,163",12163.38,Goldman Sachs Bank USA
2025-08-29,2025-08-29,PIMCO FUNDS,PIMCO Extended Duration Fund,0000810893,SWO,N/A,317U9EJA1 PIMCO SWAPTION 3.727 CALL USD 202506,"$-3,600,000",-3600000.0,USD,2025-06-30,NOMURA GLOBAL FINANCIAL PRODUCTS INC.,$-971,-970.92,NOMURA GLOBAL FINANCIAL PRODUCTS INC.
2025-08-29,2025-08-29,PIMCO FUNDS,PIMCO Extended Duration Fund,0000810893,SWO,N/A,317U9JSA0 PIMCO SWAPTION 4.122 PUT USD 2025071,"$-500,000",-500000.0,USD,2025-07-10,JPMORGAN CHASE & CO.,"$1,624",1623.5,JPMORGAN CHASE & CO.
2025-08-29,2025-08-29,PIMCO FUNDS,PIMCO Extended Duration Fund,0000810893,SWO,N/A,317U9G7A9 PIMCO SWAPTION 3.715 CALL USD 202507,"$-1,600,000",-1600000.0,USD,2025-07-02,MORGAN STANLEY CAPITAL SERVICES LLC,$-889,-888.64,MORGAN STANLEY CAPITAL SERVICES LLC
2025-08-29,2025-08-29,PIMCO FUNDS,PIMCO Extended Duration Fund,0000810893,SWO,N/A,317U9LMA1 PIMCO SWAPTION 3.695 CALL USD 202507,"$-3,400,000",-3400000.0,USD,2025-07-17,Goldman Sachs Bank USA,"$-13,772",-13772.38,Goldman Sachs Bank USA
