Filing Date,Fund Manager,Fund Name,Fund CIK,Derivative Type,Notional Amount,Currency,Expiration Date,Counterparty,Unrealized Gain/Loss
2025-08-29,PIMCO FUNDS,PIMCO Emerging Markets Local Currency and Bond Fund,0000810893,SWO,,ILS,2025-07-10,,-22056.46
2025-08-29,PIMCO FUNDS,PIMCO Emerging Markets Local Currency and Bond Fund,0000810893,SWO,,ZAR,2025-08-26,,-2977.8
2025-08-29,PIMCO FUNDS,PIMCO Emerging Markets Local Currency and Bond Fund,0000810893,SWO,,ZAR,2025-09-22,,-39778.78
2025-08-29,PIMCO FUNDS,PIMCO Emerging Markets Local Currency and Bond Fund,0000810893,SWO,,ILS,2025-07-10,,22498.45
2025-08-29,PIMCO FUNDS,PIMCO Emerging Markets Local Currency and Bond Fund,0000810893,SWO,,ILS,2025-07-04,,56196.81
2025-08-29,PIMCO FUNDS,PIMCO StocksPLUS International Fund (Unhedged),0000810893,SWO,,USD,2025-07-16,,344.48
2025-08-29,PIMCO FUNDS,PIMCO StocksPLUS International Fund (Unhedged),0000810893,SWO,,USD,2025-07-16,,339.66
2025-08-29,PIMCO FUNDS,PIMCO StocksPLUS International Fund (Unhedged),0000810893,SWO,,USD,2025-07-16,,424.88
2025-08-29,PIMCO FUNDS,PIMCO StocksPLUS International Fund (Unhedged),0000810893,SWO,,USD,2025-10-30,,-25823.29
2025-08-29,PIMCO FUNDS,PIMCO StocksPLUS International Fund (Unhedged),0000810893,SWO,,USD,2025-07-16,,192.55
2025-08-29,PIMCO FUNDS,PIMCO StocksPLUS International Fund (Unhedged),0000810893,SWO,,USD,2025-10-30,,30303.88
2025-08-29,PIMCO FUNDS,PIMCO StocksPLUS International Fund (Unhedged),0000810893,SWO,,USD,2025-07-16,,130.33
2025-08-29,PIMCO FUNDS,PIMCO StocksPLUS International Fund (Unhedged),0000810893,SWO,,USD,2025-10-30,,22872.52
2025-08-29,PIMCO FUNDS,PIMCO Extended Duration Fund,0000810893,SWO,,USD,2025-07-03,,7146.66
2025-08-29,PIMCO FUNDS,PIMCO Extended Duration Fund,0000810893,SWO,,USD,2025-07-10,,-3124.45
2025-08-29,PIMCO FUNDS,PIMCO Extended Duration Fund,0000810893,SWO,,USD,2025-06-30,,7211.3
2025-08-29,PIMCO FUNDS,PIMCO Extended Duration Fund,0000810893,SWO,,USD,2025-07-09,,-21427.2
2025-08-29,PIMCO FUNDS,PIMCO Extended Duration Fund,0000810893,SWO,,USD,2025-07-03,,-2967.99
2025-08-29,PIMCO FUNDS,PIMCO Extended Duration Fund,0000810893,SWO,,USD,2025-07-16,,-4246.55
2025-08-29,PIMCO FUNDS,PIMCO Extended Duration Fund,0000810893,SWO,,USD,2025-07-07,,4108.17
2025-08-29,PIMCO FUNDS,PIMCO Extended Duration Fund,0000810893,SWO,,USD,2025-06-30,,12163.38
2025-08-29,PIMCO FUNDS,PIMCO Extended Duration Fund,0000810893,SWO,,USD,2025-06-30,,-970.92
2025-08-29,PIMCO FUNDS,PIMCO Extended Duration Fund,0000810893,SWO,,USD,2025-07-10,,1623.5
2025-08-29,PIMCO FUNDS,PIMCO Extended Duration Fund,0000810893,SWO,,USD,2025-07-02,,-888.64
2025-08-29,PIMCO FUNDS,PIMCO Extended Duration Fund,0000810893,SWO,,USD,2025-07-17,,-13772.38
2025-08-29,PIMCO FUNDS,PIMCO Extended Duration Fund,0000810893,SWO,,USD,2025-07-07,,484.44
2025-08-29,PIMCO FUNDS,PIMCO Extended Duration Fund,0000810893,SWO,,USD,2025-07-17,,9144.98
2025-08-29,PIMCO FUNDS,PIMCO Extended Duration Fund,0000810893,SWO,,USD,2025-07-02,,5727.84
2025-08-29,PIMCO FUNDS,PIMCO Extended Duration Fund,0000810893,SWO,,USD,2025-07-09,,5731.38
2025-08-29,PIMCO FUNDS,PIMCO Extended Duration Fund,0000810893,SWO,,USD,2025-07-09,,-10680.48
2025-08-29,PIMCO FUNDS,PIMCO Extended Duration Fund,0000810893,SWO,,USD,2025-06-30,,11699.64
2025-08-29,PIMCO FUNDS,PIMCO Extended Duration Fund,0000810893,SWO,,USD,2025-07-16,,2997.5
2025-08-29,PIMCO FUNDS,PIMCO Extended Duration Fund,0000810893,SWO,,USD,2025-07-09,,9789.9
2025-08-29,PIMCO FUNDS,PIMCO Long Duration Total Return Fund,0000810893,SWO,,USD,2025-07-16,,1358.63
2025-08-29,PIMCO FUNDS,PIMCO Long Duration Total Return Fund,0000810893,SWO,,USD,2025-07-28,,-657.15
2025-08-29,PIMCO FUNDS,PIMCO Long Duration Total Return Fund,0000810893,SWO,,USD,2025-07-16,,26295.61
2025-08-29,PIMCO FUNDS,PIMCO Long Duration Total Return Fund,0000810893,SWO,,USD,2025-07-28,,1284.92
2025-08-29,PIMCO FUNDS,PIMCO Long Duration Total Return Fund,0000810893,SWO,,USD,2025-07-16,,13684.44
2025-08-29,PIMCO FUNDS,PIMCO Long Duration Total Return Fund,0000810893,SWO,,USD,2025-07-16,,18581.27
2025-08-29,PIMCO FUNDS,PIMCO StocksPLUS Short Fund,0000810893,SWO,,USD,2025-10-30,,15328.18
2025-08-29,PIMCO FUNDS,PIMCO StocksPLUS Short Fund,0000810893,SWO,,USD,2025-07-16,,212.44
2025-08-29,PIMCO FUNDS,PIMCO StocksPLUS Short Fund,0000810893,SWO,,USD,2025-10-30,,20308.36
2025-08-29,PIMCO FUNDS,PIMCO StocksPLUS Short Fund,0000810893,SWO,,USD,2025-07-16,,114.83
2025-08-29,PIMCO FUNDS,PIMCO StocksPLUS Short Fund,0000810893,SWO,,USD,2025-07-16,,96.28
2025-08-29,PIMCO FUNDS,PIMCO StocksPLUS Short Fund,0000810893,SWO,,USD,2025-07-16,,130.33
2025-08-29,PIMCO FUNDS,PIMCO StocksPLUS Short Fund,0000810893,SWO,,USD,2025-07-16,,226.44
2025-08-29,PIMCO FUNDS,PIMCO StocksPLUS Short Fund,0000810893,SWO,,USD,2025-10-30,,-17305.66
2025-08-29,PIMCO FUNDS,PIMCO RealEstateRealReturn Strategy Fund,0000810893,SWO,,EUR,2027-01-07,,4867.13
2025-08-29,PIMCO FUNDS,PIMCO RealEstateRealReturn Strategy Fund,0000810893,SWO,,EUR,2027-01-14,,36912.25
2025-08-29,PIMCO FUNDS,PIMCO RealEstateRealReturn Strategy Fund,0000810893,SWO,,EUR,2027-01-25,,-1711.55
2025-08-29,PIMCO FUNDS,PIMCO RealEstateRealReturn Strategy Fund,0000810893,SWO,,EUR,2027-01-07,,30992.12
2025-08-29,PIMCO FUNDS,PIMCO RealEstateRealReturn Strategy Fund,0000810893,SWO,,EUR,2027-01-25,,4612.6
2025-08-29,PIMCO FUNDS,PIMCO RealEstateRealReturn Strategy Fund,0000810893,SWO,,EUR,2027-01-14,,-15419.22
2025-08-29,PIMCO FUNDS,PIMCO RealEstateRealReturn Strategy Fund,0000810893,SWO,,EUR,2025-09-08,,31378.8
2025-08-29,PIMCO FUNDS,PIMCO RealEstateRealReturn Strategy Fund,0000810893,SWO,,EUR,2025-09-08,,7034.92
2025-08-29,PIMCO FUNDS,PIMCO StocksPLUS Small Fund,0000810893,SWO,,USD,2025-07-16,,1699.5
2025-08-29,PIMCO FUNDS,PIMCO StocksPLUS Small Fund,0000810893,SWO,,USD,2025-10-30,,108015.79
2025-08-29,PIMCO FUNDS,PIMCO StocksPLUS Small Fund,0000810893,SWO,,USD,2025-10-30,,-4120.05
2025-08-29,PIMCO FUNDS,PIMCO StocksPLUS Small Fund,0000810893,SWO,,USD,2025-10-30,,143110.46
2025-08-29,PIMCO FUNDS,PIMCO StocksPLUS Small Fund,0000810893,SWO,,USD,2025-07-16,,113.22
2025-08-29,PIMCO FUNDS,PIMCO StocksPLUS Small Fund,0000810893,SWO,,USD,2025-10-30,,-121950.83
2025-08-29,PIMCO FUNDS,PIMCO StocksPLUS Small Fund,0000810893,SWO,,USD,2025-07-16,,673.93
2025-08-29,PIMCO FUNDS,PIMCO StocksPLUS Small Fund,0000810893,SWO,,USD,2025-07-16,,574.14
2025-08-29,PIMCO FUNDS,PIMCO StocksPLUS Small Fund,0000810893,SWO,,USD,2025-07-16,,912.3
2025-08-29,PIMCO FUNDS,PIMCO International Bond Fund (Unhedged),0000810893,SWO,,USD,2025-07-23,,2162.3
2025-08-29,PIMCO FUNDS,PIMCO International Bond Fund (Unhedged),0000810893,SWO,,USD,2025-06-30,,12674.61
2025-08-29,PIMCO FUNDS,PIMCO International Bond Fund (Unhedged),0000810893,SWO,,USD,2025-07-07,,3734.7
2025-08-29,PIMCO FUNDS,PIMCO International Bond Fund (Unhedged),0000810893,SWO,,EUR,2025-07-16,,3680.36
2025-08-29,PIMCO FUNDS,PIMCO International Bond Fund (Unhedged),0000810893,SWO,,USD,2025-07-23,,-1105.5
2025-08-29,PIMCO FUNDS,PIMCO International Bond Fund (Unhedged),0000810893,SWO,,USD,2025-08-20,,-43660.5
2025-08-29,PIMCO FUNDS,PIMCO International Bond Fund (Unhedged),0000810893,SWO,,USD,2025-07-28,,3088.75
2025-08-29,PIMCO FUNDS,PIMCO International Bond Fund (Unhedged),0000810893,SWO,,USD,2025-08-13,,-62810.61
2025-08-29,PIMCO FUNDS,PIMCO International Bond Fund (Unhedged),0000810893,SWO,,USD,2025-07-28,,-1579.68
2025-08-29,PIMCO FUNDS,PIMCO International Bond Fund (Unhedged),0000810893,SWO,,USD,2025-07-03,,6356.98
2025-08-29,PIMCO FUNDS,PIMCO International Bond Fund (Unhedged),0000810893,SWO,,USD,2025-06-30,,-1051.83
2025-08-29,PIMCO FUNDS,PIMCO International Bond Fund (Unhedged),0000810893,SWO,,USD,2025-09-25,,33137.45
2025-08-29,PIMCO FUNDS,PIMCO International Bond Fund (Unhedged),0000810893,SWO,,USD,2025-08-13,,-1405.83
2025-08-29,PIMCO FUNDS,PIMCO International Bond Fund (Unhedged),0000810893,SWO,,USD,2025-07-14,,8829.42
2025-08-29,PIMCO FUNDS,PIMCO International Bond Fund (Unhedged),0000810893,SWO,,USD,2025-09-25,,25145.1
2025-08-29,PIMCO FUNDS,PIMCO International Bond Fund (Unhedged),0000810893,SWO,,USD,2025-07-03,,-5214.58
2025-08-29,PIMCO FUNDS,PIMCO International Bond Fund (Unhedged),0000810893,SWO,,EUR,2025-07-16,,5068.67
2025-08-29,PIMCO FUNDS,PIMCO International Bond Fund (Unhedged),0000810893,SWO,,USD,2025-07-07,,440.4
