Filing Date,Fund Manager,Series Name,Fund CIK,Derivative Type,Notional Amount,Currency,Expiration Date,Counterparty,Unrealized Gain/Loss,Underlying Reference
2025-08-29,PIMCO FUNDS,PIMCO Emerging Markets Local Currency and Bond Fund,0000810893,SWO,,ILS,N/A,,-22056.46,N/A
2025-08-29,PIMCO FUNDS,PIMCO Emerging Markets Local Currency and Bond Fund,0000810893,SWO,,ZAR,N/A,,-2977.8,N/A
2025-08-29,PIMCO FUNDS,PIMCO Emerging Markets Local Currency and Bond Fund,0000810893,SWO,,ZAR,N/A,,-39778.78,N/A
2025-08-29,PIMCO FUNDS,PIMCO Emerging Markets Local Currency and Bond Fund,0000810893,SWO,,ILS,N/A,,22498.45,N/A
2025-08-29,PIMCO FUNDS,PIMCO Emerging Markets Local Currency and Bond Fund,0000810893,SWO,,ILS,N/A,,56196.81,N/A
2025-08-29,PIMCO FUNDS,PIMCO StocksPLUS International Fund (Unhedged),0000810893,SWO,,USD,N/A,,344.48,N/A
2025-08-29,PIMCO FUNDS,PIMCO StocksPLUS International Fund (Unhedged),0000810893,SWO,,USD,N/A,,339.66,N/A
2025-08-29,PIMCO FUNDS,PIMCO StocksPLUS International Fund (Unhedged),0000810893,SWO,,USD,N/A,,424.88,N/A
2025-08-29,PIMCO FUNDS,PIMCO StocksPLUS International Fund (Unhedged),0000810893,SWO,,USD,N/A,,-25823.29,N/A
2025-08-29,PIMCO FUNDS,PIMCO StocksPLUS International Fund (Unhedged),0000810893,SWO,,USD,N/A,,192.55,N/A
2025-08-29,PIMCO FUNDS,PIMCO StocksPLUS International Fund (Unhedged),0000810893,SWO,,USD,N/A,,30303.88,N/A
2025-08-29,PIMCO FUNDS,PIMCO StocksPLUS International Fund (Unhedged),0000810893,SWO,,USD,N/A,,130.33,N/A
2025-08-29,PIMCO FUNDS,PIMCO StocksPLUS International Fund (Unhedged),0000810893,SWO,,USD,N/A,,22872.52,N/A
2025-08-29,PIMCO FUNDS,PIMCO Extended Duration Fund,0000810893,SWO,,USD,N/A,,7146.66,N/A
2025-08-29,PIMCO FUNDS,PIMCO Extended Duration Fund,0000810893,SWO,,USD,N/A,,-3124.45,N/A
2025-08-29,PIMCO FUNDS,PIMCO Extended Duration Fund,0000810893,SWO,,USD,N/A,,7211.3,N/A
2025-08-29,PIMCO FUNDS,PIMCO Extended Duration Fund,0000810893,SWO,,USD,N/A,,-21427.2,N/A
2025-08-29,PIMCO FUNDS,PIMCO Extended Duration Fund,0000810893,SWO,,USD,N/A,,-2967.99,N/A
2025-08-29,PIMCO FUNDS,PIMCO Extended Duration Fund,0000810893,SWO,,USD,N/A,,-4246.55,N/A
2025-08-29,PIMCO FUNDS,PIMCO Extended Duration Fund,0000810893,SWO,,USD,N/A,,4108.17,N/A
2025-08-29,PIMCO FUNDS,PIMCO Extended Duration Fund,0000810893,SWO,,USD,N/A,,12163.38,N/A
2025-08-29,PIMCO FUNDS,PIMCO Extended Duration Fund,0000810893,SWO,,USD,N/A,,-970.92,N/A
2025-08-29,PIMCO FUNDS,PIMCO Extended Duration Fund,0000810893,SWO,,USD,N/A,,1623.5,N/A
2025-08-29,PIMCO FUNDS,PIMCO Extended Duration Fund,0000810893,SWO,,USD,N/A,,-888.64,N/A
2025-08-29,PIMCO FUNDS,PIMCO Extended Duration Fund,0000810893,SWO,,USD,N/A,,-13772.38,N/A
2025-08-29,PIMCO FUNDS,PIMCO Extended Duration Fund,0000810893,SWO,,USD,N/A,,484.44,N/A
2025-08-29,PIMCO FUNDS,PIMCO Extended Duration Fund,0000810893,SWO,,USD,N/A,,9144.98,N/A
2025-08-29,PIMCO FUNDS,PIMCO Extended Duration Fund,0000810893,SWO,,USD,N/A,,5727.84,N/A
2025-08-29,PIMCO FUNDS,PIMCO Extended Duration Fund,0000810893,SWO,,USD,N/A,,5731.38,N/A
2025-08-29,PIMCO FUNDS,PIMCO Extended Duration Fund,0000810893,SWO,,USD,N/A,,-10680.48,N/A
2025-08-29,PIMCO FUNDS,PIMCO Extended Duration Fund,0000810893,SWO,,USD,N/A,,11699.64,N/A
2025-08-29,PIMCO FUNDS,PIMCO Extended Duration Fund,0000810893,SWO,,USD,N/A,,2997.5,N/A
2025-08-29,PIMCO FUNDS,PIMCO Extended Duration Fund,0000810893,SWO,,USD,N/A,,9789.9,N/A
2025-08-29,PIMCO FUNDS,PIMCO Long Duration Total Return Fund,0000810893,SWO,,USD,N/A,,1358.63,N/A
2025-08-29,PIMCO FUNDS,PIMCO Long Duration Total Return Fund,0000810893,SWO,,USD,N/A,,-657.15,N/A
2025-08-29,PIMCO FUNDS,PIMCO Long Duration Total Return Fund,0000810893,SWO,,USD,N/A,,26295.61,N/A
2025-08-29,PIMCO FUNDS,PIMCO Long Duration Total Return Fund,0000810893,SWO,,USD,N/A,,1284.92,N/A
2025-08-29,PIMCO FUNDS,PIMCO Long Duration Total Return Fund,0000810893,SWO,,USD,N/A,,13684.44,N/A
2025-08-29,PIMCO FUNDS,PIMCO Long Duration Total Return Fund,0000810893,SWO,,USD,N/A,,18581.27,N/A
2025-08-29,PIMCO FUNDS,PIMCO StocksPLUS Short Fund,0000810893,SWO,,USD,N/A,,15328.18,N/A
2025-08-29,PIMCO FUNDS,PIMCO StocksPLUS Short Fund,0000810893,SWO,,USD,N/A,,212.44,N/A
2025-08-29,PIMCO FUNDS,PIMCO StocksPLUS Short Fund,0000810893,SWO,,USD,N/A,,20308.36,N/A
2025-08-29,PIMCO FUNDS,PIMCO StocksPLUS Short Fund,0000810893,SWO,,USD,N/A,,114.83,N/A
2025-08-29,PIMCO FUNDS,PIMCO StocksPLUS Short Fund,0000810893,SWO,,USD,N/A,,96.28,N/A
2025-08-29,PIMCO FUNDS,PIMCO StocksPLUS Short Fund,0000810893,SWO,,USD,N/A,,130.33,N/A
2025-08-29,PIMCO FUNDS,PIMCO StocksPLUS Short Fund,0000810893,SWO,,USD,N/A,,226.44,N/A
2025-08-29,PIMCO FUNDS,PIMCO StocksPLUS Short Fund,0000810893,SWO,,USD,N/A,,-17305.66,N/A
2025-08-29,PIMCO FUNDS,PIMCO RealEstateRealReturn Strategy Fund,0000810893,SWO,,EUR,N/A,,4867.13,N/A
2025-08-29,PIMCO FUNDS,PIMCO RealEstateRealReturn Strategy Fund,0000810893,SWO,,EUR,N/A,,36912.25,N/A
2025-08-29,PIMCO FUNDS,PIMCO RealEstateRealReturn Strategy Fund,0000810893,SWO,,EUR,N/A,,-1711.55,N/A
2025-08-29,PIMCO FUNDS,PIMCO RealEstateRealReturn Strategy Fund,0000810893,SWO,,EUR,N/A,,30992.12,N/A
2025-08-29,PIMCO FUNDS,PIMCO RealEstateRealReturn Strategy Fund,0000810893,SWO,,EUR,N/A,,4612.6,N/A
2025-08-29,PIMCO FUNDS,PIMCO RealEstateRealReturn Strategy Fund,0000810893,SWO,,EUR,N/A,,-15419.22,N/A
2025-08-29,PIMCO FUNDS,PIMCO RealEstateRealReturn Strategy Fund,0000810893,SWO,,EUR,N/A,,31378.8,N/A
2025-08-29,PIMCO FUNDS,PIMCO RealEstateRealReturn Strategy Fund,0000810893,SWO,,EUR,N/A,,7034.92,N/A
2025-08-29,PIMCO FUNDS,PIMCO StocksPLUS Small Fund,0000810893,SWO,,USD,N/A,,1699.5,N/A
2025-08-29,PIMCO FUNDS,PIMCO StocksPLUS Small Fund,0000810893,SWO,,USD,N/A,,108015.79,N/A
2025-08-29,PIMCO FUNDS,PIMCO StocksPLUS Small Fund,0000810893,SWO,,USD,N/A,,-4120.05,N/A
2025-08-29,PIMCO FUNDS,PIMCO StocksPLUS Small Fund,0000810893,SWO,,USD,N/A,,143110.46,N/A
2025-08-29,PIMCO FUNDS,PIMCO StocksPLUS Small Fund,0000810893,SWO,,USD,N/A,,113.22,N/A
2025-08-29,PIMCO FUNDS,PIMCO StocksPLUS Small Fund,0000810893,SWO,,USD,N/A,,-121950.83,N/A
2025-08-29,PIMCO FUNDS,PIMCO StocksPLUS Small Fund,0000810893,SWO,,USD,N/A,,673.93,N/A
2025-08-29,PIMCO FUNDS,PIMCO StocksPLUS Small Fund,0000810893,SWO,,USD,N/A,,574.14,N/A
2025-08-29,PIMCO FUNDS,PIMCO StocksPLUS Small Fund,0000810893,SWO,,USD,N/A,,912.3,N/A
2025-08-29,PIMCO FUNDS,PIMCO International Bond Fund (Unhedged),0000810893,SWO,,USD,N/A,,2162.3,N/A
2025-08-29,PIMCO FUNDS,PIMCO International Bond Fund (Unhedged),0000810893,SWO,,USD,N/A,,12674.61,N/A
2025-08-29,PIMCO FUNDS,PIMCO International Bond Fund (Unhedged),0000810893,SWO,,USD,N/A,,3734.7,N/A
2025-08-29,PIMCO FUNDS,PIMCO International Bond Fund (Unhedged),0000810893,SWO,,EUR,N/A,,3680.36,N/A
2025-08-29,PIMCO FUNDS,PIMCO International Bond Fund (Unhedged),0000810893,SWO,,USD,N/A,,-1105.5,N/A
2025-08-29,PIMCO FUNDS,PIMCO International Bond Fund (Unhedged),0000810893,SWO,,USD,N/A,,-43660.5,N/A
2025-08-29,PIMCO FUNDS,PIMCO International Bond Fund (Unhedged),0000810893,SWO,,USD,N/A,,3088.75,N/A
2025-08-29,PIMCO FUNDS,PIMCO International Bond Fund (Unhedged),0000810893,SWO,,USD,N/A,,-62810.61,N/A
2025-08-29,PIMCO FUNDS,PIMCO International Bond Fund (Unhedged),0000810893,SWO,,USD,N/A,,-1579.68,N/A
2025-08-29,PIMCO FUNDS,PIMCO International Bond Fund (Unhedged),0000810893,SWO,,USD,N/A,,6356.98,N/A
2025-08-29,PIMCO FUNDS,PIMCO International Bond Fund (Unhedged),0000810893,SWO,,USD,N/A,,-1051.83,N/A
2025-08-29,PIMCO FUNDS,PIMCO International Bond Fund (Unhedged),0000810893,SWO,,USD,N/A,,33137.45,N/A
2025-08-29,PIMCO FUNDS,PIMCO International Bond Fund (Unhedged),0000810893,SWO,,USD,N/A,,-1405.83,N/A
2025-08-29,PIMCO FUNDS,PIMCO International Bond Fund (Unhedged),0000810893,SWO,,USD,N/A,,8829.42,N/A
2025-08-29,PIMCO FUNDS,PIMCO International Bond Fund (Unhedged),0000810893,SWO,,USD,N/A,,25145.1,N/A
2025-08-29,PIMCO FUNDS,PIMCO International Bond Fund (Unhedged),0000810893,SWO,,USD,N/A,,-5214.58,N/A
2025-08-29,PIMCO FUNDS,PIMCO International Bond Fund (Unhedged),0000810893,SWO,,EUR,N/A,,5068.67,N/A
2025-08-29,PIMCO FUNDS,PIMCO International Bond Fund (Unhedged),0000810893,SWO,,USD,N/A,,440.4,N/A
2025-08-29,PIMCO FUNDS,PIMCO International Bond Fund (Unhedged),0000810893,SWO,,USD,N/A,,-5549.62,N/A
2025-08-29,PIMCO FUNDS,PIMCO StocksPLUS Long Duration Fund,0000810893,SWO,,USD,N/A,,-30.04,N/A
2025-08-29,PIMCO FUNDS,PIMCO StocksPLUS Long Duration Fund,0000810893,SWO,,USD,N/A,,420.12,N/A
2025-08-29,PIMCO FUNDS,PIMCO StocksPLUS Long Duration Fund,0000810893,SWO,,USD,N/A,,-11.4,N/A
2025-08-29,PIMCO FUNDS,PIMCO StocksPLUS Long Duration Fund,0000810893,SWO,,USD,N/A,,531.16,N/A
2025-08-29,PIMCO FUNDS,PIMCO StocksPLUS Long Duration Fund,0000810893,SWO,,USD,N/A,,770.21,N/A
2025-08-29,PIMCO FUNDS,PIMCO StocksPLUS Long Duration Fund,0000810893,SWO,,USD,N/A,,-442.2,N/A
2025-08-29,PIMCO FUNDS,PIMCO StocksPLUS Long Duration Fund,0000810893,SWO,,USD,N/A,,-1620.28,N/A
2025-08-29,PIMCO FUNDS,PIMCO StocksPLUS Long Duration Fund,0000810893,SWO,,USD,N/A,,-459.54,N/A
2025-08-29,PIMCO FUNDS,PIMCO StocksPLUS Long Duration Fund,0000810893,SWO,,USD,N/A,,526.72,N/A
2025-08-29,PIMCO FUNDS,PIMCO StocksPLUS Long Duration Fund,0000810893,SWO,,USD,N/A,,1273.64,N/A
2025-08-29,PIMCO FUNDS,PIMCO StocksPLUS Long Duration Fund,0000810893,SWO,,EUR,N/A,,527.62,N/A
2025-08-29,PIMCO FUNDS,PIMCO StocksPLUS Long Duration Fund,0000810893,SWO,,USD,N/A,,-2373.44,N/A
2025-08-29,PIMCO FUNDS,PIMCO StocksPLUS Long Duration Fund,0000810893,SWO,,USD,N/A,,1314.96,N/A
2025-08-29,PIMCO FUNDS,PIMCO StocksPLUS Long Duration Fund,0000810893,SWO,,EUR,N/A,,390.17,N/A
2025-08-29,PIMCO FUNDS,PIMCO StocksPLUS Long Duration Fund,0000810893,SWO,,USD,N/A,,1805.72,N/A
2025-08-29,PIMCO FUNDS,PIMCO StocksPLUS Long Duration Fund,0000810893,SWO,,USD,N/A,,2054.94,N/A
2025-08-29,PIMCO FUNDS,PIMCO StocksPLUS Long Duration Fund,0000810893,SWO,,USD,N/A,,-1544.2,N/A
2025-08-29,PIMCO FUNDS,PIMCO StocksPLUS Long Duration Fund,0000810893,SWO,,EUR,N/A,,436.43,N/A
2025-08-29,PIMCO FUNDS,PIMCO StocksPLUS Long Duration Fund,0000810893,SWO,,USD,N/A,,898.16,N/A
2025-08-29,PIMCO FUNDS,PIMCO StocksPLUS Long Duration Fund,0000810893,SWO,,USD,N/A,,-172.8,N/A
2025-08-29,PIMCO FUNDS,PIMCO StocksPLUS Long Duration Fund,0000810893,SWO,,USD,N/A,,1230.04,N/A
2025-08-29,PIMCO FUNDS,PIMCO StocksPLUS Long Duration Fund,0000810893,SWO,,USD,N/A,,-277.7,N/A
2025-08-29,PIMCO FUNDS,PIMCO StocksPLUS Long Duration Fund,0000810893,SWO,,USD,N/A,,-120.4,N/A
2025-08-29,PIMCO FUNDS,PIMCO StocksPLUS Long Duration Fund,0000810893,SWO,,USD,N/A,,1399.96,N/A
2025-08-29,PIMCO FUNDS,PIMCO StocksPLUS Long Duration Fund,0000810893,SWO,,USD,N/A,,-1823.2,N/A
2025-08-29,PIMCO FUNDS,PIMCO StocksPLUS Long Duration Fund,0000810893,SWO,,USD,N/A,,-2318.76,N/A
2025-08-29,PIMCO FUNDS,PIMCO StocksPLUS Long Duration Fund,0000810893,SWO,,USD,N/A,,-740.12,N/A
2025-08-29,PIMCO FUNDS,PIMCO StocksPLUS Long Duration Fund,0000810893,SWO,,USD,N/A,,291.92,N/A
2025-08-29,PIMCO FUNDS,PIMCO StocksPLUS Long Duration Fund,0000810893,SWO,,USD,N/A,,-682.25,N/A
2025-08-29,PIMCO FUNDS,PIMCO StocksPLUS Long Duration Fund,0000810893,SWO,,USD,N/A,,1880.7,N/A
2025-08-29,PIMCO FUNDS,PIMCO StocksPLUS Long Duration Fund,0000810893,SWO,,USD,N/A,,-1074.12,N/A
2025-08-29,PIMCO FUNDS,PIMCO StocksPLUS Long Duration Fund,0000810893,SWO,,USD,N/A,,1867.35,N/A
2025-08-29,PIMCO FUNDS,PIMCO StocksPLUS Long Duration Fund,0000810893,SWO,,USD,N/A,,1042.62,N/A
2025-08-29,PIMCO FUNDS,PIMCO StocksPLUS Long Duration Fund,0000810893,SWO,,USD,N/A,,1421.5,N/A
2025-08-29,PIMCO FUNDS,PIMCO StocksPLUS Long Duration Fund,0000810893,SWO,,USD,N/A,,1092.84,N/A
2025-08-29,PIMCO FUNDS,PIMCO StocksPLUS Long Duration Fund,0000810893,SWO,,USD,N/A,,1298.8,N/A
2025-08-29,PIMCO FUNDS,PIMCO StocksPLUS Long Duration Fund,0000810893,SWO,,USD,N/A,,220.2,N/A
2025-08-29,PIMCO FUNDS,PIMCO StocksPLUS Long Duration Fund,0000810893,SWO,,USD,N/A,,1090.0,N/A
2025-08-29,PIMCO FUNDS,PIMCO StocksPLUS Long Duration Fund,0000810893,SWO,,USD,N/A,,864.92,N/A
2025-08-29,PIMCO FUNDS,PIMCO StocksPLUS Long Duration Fund,0000810893,SWO,,USD,N/A,,1075.88,N/A
2025-08-29,PIMCO FUNDS,PIMCO StocksPLUS Long Duration Fund,0000810893,SWO,,USD,N/A,,779.6,N/A
2025-08-29,PIMCO FUNDS,PIMCO StocksPLUS Long Duration Fund,0000810893,SWO,,EUR,N/A,,436.43,N/A
2025-08-29,PIMCO FUNDS,PIMCO StocksPLUS Long Duration Fund,0000810893,SWO,,USD,N/A,,1089.76,N/A
2025-08-29,PIMCO FUNDS,PIMCO StocksPLUS Long Duration Fund,0000810893,SWO,,USD,N/A,,-186.16,N/A
2025-08-29,PIMCO FUNDS,PIMCO StocksPLUS Long Duration Fund,0000810893,SWO,,USD,N/A,,1789.95,N/A
2025-08-29,PIMCO FUNDS,PIMCO StocksPLUS Long Duration Fund,0000810893,SWO,,EUR,N/A,,281.99,N/A
2025-08-29,PIMCO FUNDS,PIMCO StocksPLUS Long Duration Fund,0000810893,SWO,,EUR,N/A,,283.37,N/A
2025-08-29,PIMCO FUNDS,PIMCO StocksPLUS Long Duration Fund,0000810893,SWO,,USD,N/A,,714.74,N/A
2025-08-29,PIMCO FUNDS,PIMCO StocksPLUS Long Duration Fund,0000810893,SWO,,USD,N/A,,1708.92,N/A
2025-08-29,PIMCO FUNDS,PIMCO StocksPLUS Long Duration Fund,0000810893,SWO,,USD,N/A,,-2499.56,N/A
2025-08-29,PIMCO FUNDS,PIMCO StocksPLUS Long Duration Fund,0000810893,SWO,,USD,N/A,,-781.05,N/A
2025-08-29,PIMCO FUNDS,PIMCO Emerging Markets Currency and Short-Term Investments Fund,0000810893,SWO,,ILS,N/A,,9516.47,N/A
2025-08-29,PIMCO FUNDS,PIMCO Emerging Markets Currency and Short-Term Investments Fund,0000810893,SWO,,ILS,N/A,,23921.13,N/A
2025-08-29,PIMCO FUNDS,PIMCO Emerging Markets Currency and Short-Term Investments Fund,0000810893,SWO,,ZAR,N/A,,-16670.42,N/A
2025-08-29,PIMCO FUNDS,PIMCO Emerging Markets Currency and Short-Term Investments Fund,0000810893,SWO,,ILS,N/A,,-9329.51,N/A
2025-08-29,PIMCO FUNDS,PIMCO Emerging Markets Currency and Short-Term Investments Fund,0000810893,SWO,,ZAR,N/A,,-1248.55,N/A
2025-08-29,PIMCO FUNDS,PIMCO StocksPLUS International Fund (U.S. Dollar-Hedged),0000810893,SWO,,USD,N/A,,-417499.07,N/A
2025-08-29,PIMCO FUNDS,PIMCO StocksPLUS International Fund (U.S. Dollar-Hedged),0000810893,SWO,,USD,N/A,,489939.14,N/A
2025-08-29,PIMCO FUNDS,PIMCO StocksPLUS International Fund (U.S. Dollar-Hedged),0000810893,SWO,,USD,N/A,,-14432.66,N/A
2025-08-29,PIMCO FUNDS,PIMCO StocksPLUS International Fund (U.S. Dollar-Hedged),0000810893,SWO,,USD,N/A,,9134.83,N/A
2025-08-29,PIMCO FUNDS,PIMCO StocksPLUS International Fund (U.S. Dollar-Hedged),0000810893,SWO,,USD,N/A,,2717.26,N/A
2025-08-29,PIMCO FUNDS,PIMCO StocksPLUS International Fund (U.S. Dollar-Hedged),0000810893,SWO,,USD,N/A,,-6192.43,N/A
2025-08-29,PIMCO FUNDS,PIMCO StocksPLUS International Fund (U.S. Dollar-Hedged),0000810893,SWO,,USD,N/A,,369792.41,N/A
2025-08-29,PIMCO FUNDS,PIMCO StocksPLUS International Fund (U.S. Dollar-Hedged),0000810893,SWO,,USD,N/A,,4691.81,N/A
2025-08-29,PIMCO FUNDS,PIMCO StocksPLUS International Fund (U.S. Dollar-Hedged),0000810893,SWO,,USD,N/A,,3851.04,N/A
2025-08-29,PIMCO FUNDS,PIMCO StocksPLUS International Fund (U.S. Dollar-Hedged),0000810893,SWO,,USD,N/A,,4478.29,N/A
2025-08-29,PIMCO FUNDS,PIMCO StocksPLUS International Fund (U.S. Dollar-Hedged),0000810893,SWO,,USD,N/A,,5210.74,N/A
2025-08-29,PIMCO FUNDS,PIMCO StocksPLUS International Fund (U.S. Dollar-Hedged),0000810893,SWO,,USD,N/A,,7225.72,N/A
2025-08-29,PIMCO FUNDS,PIMCO RAE PLUS Fund,0000810893,SWO,,USD,N/A,,3080.35,N/A
2025-08-29,PIMCO FUNDS,PIMCO RAE PLUS Fund,0000810893,SWO,,USD,N/A,,1347.86,N/A
2025-08-29,PIMCO FUNDS,PIMCO RAE PLUS Fund,0000810893,SWO,,USD,N/A,,143701.71,N/A
2025-08-29,PIMCO FUNDS,PIMCO RAE PLUS Fund,0000810893,SWO,,USD,N/A,,1132.19,N/A
2025-08-29,PIMCO FUNDS,PIMCO RAE PLUS Fund,0000810893,SWO,,USD,N/A,,1694.26,N/A
2025-08-29,PIMCO FUNDS,PIMCO RAE PLUS Fund,0000810893,SWO,,USD,N/A,,190390.86,N/A
2025-08-29,PIMCO FUNDS,PIMCO RAE PLUS Fund,0000810893,SWO,,USD,N/A,,1377.94,N/A
2025-08-29,PIMCO FUNDS,PIMCO RAE PLUS Fund,0000810893,SWO,,USD,N/A,,-5518.37,N/A
2025-08-29,PIMCO FUNDS,PIMCO RAE PLUS Fund,0000810893,SWO,,USD,N/A,,-162240.57,N/A
2025-08-29,PIMCO FUNDS,PIMCO Diversified Income Fund,0000810893,SWO,,USD,N/A,,5003.84,N/A
2025-08-29,PIMCO FUNDS,PIMCO Diversified Income Fund,0000810893,SWO,,USD,N/A,,1937.76,N/A
2025-08-29,PIMCO FUNDS,PIMCO Diversified Income Fund,0000810893,SWO,,USD,N/A,,-689.31,N/A
2025-08-29,PIMCO FUNDS,PIMCO Diversified Income Fund,0000810893,SWO,,USD,N/A,,4913.23,N/A
2025-08-29,PIMCO FUNDS,PIMCO Diversified Income Fund,0000810893,SWO,,USD,N/A,,3702.66,N/A
2025-08-29,PIMCO FUNDS,PIMCO Diversified Income Fund,0000810893,SWO,,USD,N/A,,-26436.4,N/A
2025-08-29,PIMCO FUNDS,PIMCO Diversified Income Fund,0000810893,SWO,,USD,N/A,,-2327.26,N/A
2025-08-29,PIMCO FUNDS,PIMCO Diversified Income Fund,0000810893,SWO,,USD,N/A,,-4701.15,N/A
2025-08-29,PIMCO FUNDS,PIMCO Diversified Income Fund,0000810893,SWO,,USD,N/A,,13324.59,N/A
2025-08-29,PIMCO FUNDS,PIMCO Diversified Income Fund,0000810893,SWO,,EUR,N/A,,4817.3,N/A
2025-08-29,PIMCO FUNDS,PIMCO Diversified Income Fund,0000810893,SWO,,USD,N/A,,2792.0,N/A
2025-08-29,PIMCO FUNDS,PIMCO Diversified Income Fund,0000810893,SWO,,USD,N/A,,16432.68,N/A
2025-08-29,PIMCO FUNDS,PIMCO Diversified Income Fund,0000810893,SWO,,USD,N/A,,4478.29,N/A
2025-08-29,PIMCO FUNDS,PIMCO Diversified Income Fund,0000810893,SWO,,USD,N/A,,9192.12,N/A
2025-08-29,PIMCO FUNDS,PIMCO Diversified Income Fund,0000810893,SWO,,USD,N/A,,15801.52,N/A
2025-08-29,PIMCO FUNDS,PIMCO Diversified Income Fund,0000810893,SWO,,USD,N/A,,-33042.33,N/A
2025-08-29,PIMCO FUNDS,PIMCO Diversified Income Fund,0000810893,SWO,,USD,N/A,,21333.47,N/A
2025-08-29,PIMCO FUNDS,PIMCO Diversified Income Fund,0000810893,SWO,,USD,N/A,,-1768.52,N/A
2025-08-29,PIMCO FUNDS,PIMCO Diversified Income Fund,0000810893,SWO,,USD,N/A,,3283.35,N/A
2025-08-29,PIMCO FUNDS,PIMCO Diversified Income Fund,0000810893,SWO,,USD,N/A,,218.94,N/A
2025-08-29,PIMCO FUNDS,PIMCO Diversified Income Fund,0000810893,SWO,,USD,N/A,,-1598.4,N/A
2025-08-29,PIMCO FUNDS,PIMCO Diversified Income Fund,0000810893,SWO,,USD,N/A,,-1105.77,N/A
2025-08-29,PIMCO FUNDS,PIMCO Diversified Income Fund,0000810893,SWO,,EUR,N/A,,6632.78,N/A
2025-08-29,PIMCO FUNDS,PIMCO Diversified Income Fund,0000810893,SWO,,USD,N/A,,-39755.12,N/A
2025-08-29,PIMCO FUNDS,PIMCO Diversified Income Fund,0000810893,SWO,,USD,N/A,,-23494.06,N/A
