Title,Balance,Currency Code,Counterparty,Notional Amount,Put or Call,Written or Purchased,Expiration Date,Filing Date,Fund,Type,Notional,Expiration
317U8RAA2 PIMCO FPPSWAPTION 3.427 CALL USD,30000000.0,USD,,,Call,Purchased,2045-03-20,2025-08-28,PIMCO Global Core Asset Allocation Fund,SWO,,2045-03-20
317U8R9A4 PIMCO FPPSWAPTION 3.427 PUT USD,30000000.0,USD,,,Put,Purchased,2045-03-20,2025-08-28,PIMCO Global Core Asset Allocation Fund,SWO,,2045-03-20
317U8RAA2 PIMCO FPPSWAPTION 3.427 CALL USD,30000000.0,USD,,,Call,Purchased,2045-03-20,2025-05-30,PIMCO Global Core Asset Allocation Fund,SWO,,2045-03-20
317U8R9A4 PIMCO FPPSWAPTION 3.427 PUT USD,30000000.0,USD,,,Put,Purchased,2045-03-20,2025-05-30,PIMCO Global Core Asset Allocation Fund,SWO,,2045-03-20
317U6VXA0 PIMCO FPPSWAPTION 3.255 CALL USD,31900000.0,USD,,,Call,Purchased,2039-08-16,2025-08-29,PIMCO Dynamic Bond Fund,SWO,,2039-08-16
317U6VWA1 PIMCO FPPSWAPTION 3.255 PUT USD,31900000.0,USD,,,Put,Purchased,2039-08-16,2025-08-29,PIMCO Dynamic Bond Fund,SWO,,2039-08-16
317U6VWA1 PIMCO FPPSWAPTION 3.255 PUT USD,31900000.0,USD,,,Put,Purchased,2039-08-16,2025-05-30,PIMCO Dynamic Bond Fund,SWO,,2039-08-16
317U6VXA0 PIMCO FPPSWAPTION 3.255 CALL USD,31900000.0,USD,,,Call,Purchased,2039-08-16,2025-05-30,PIMCO Dynamic Bond Fund,SWO,,2039-08-16
317U6VWA1 PIMCO FPPSWAPTION 3.255 PUT USD,31900000.0,USD,,,Put,Purchased,2039-08-16,2025-03-03,PIMCO Dynamic Bond Fund,SWO,,2039-08-16
317U6VXA0 PIMCO FPPSWAPTION 3.255 CALL USD,31900000.0,USD,,,Call,Purchased,2039-08-16,2025-03-03,PIMCO Dynamic Bond Fund,SWO,,2039-08-16
317U9NOA5 PIMCO FPPSWAPTION 4.4 PUT USD,74200000.0,USD,,,Put,Purchased,2035-06-25,2025-08-28,PIMCO Mortgage Opportunities and Bond Fund,SWO,,2035-06-25
317U9NPA4 PIMCO FPPSWAPTION 4.4 CALL USD,148400000.0,USD,,,Call,Purchased,2035-06-25,2025-08-28,PIMCO Mortgage Opportunities and Bond Fund,SWO,,2035-06-25
317U9NPA4 PIMCO FPPSWAPTION 4.4 CALL USD,16200000.0,USD,,,Call,Purchased,2035-06-25,2025-08-28,PIMCO GNMA and Government Securities Fund,SWO,,2035-06-25
317U9NOA5 PIMCO FPPSWAPTION 4.4 PUT USD,8100000.0,USD,,,Put,Purchased,2035-06-25,2025-08-28,PIMCO GNMA and Government Securities Fund,SWO,,2035-06-25
317U9M8A5 PIMCO FPPSWAPTION 4.44 CALL USD,50900000.0,USD,,,Call,Purchased,2035-06-18,2025-08-28,PIMCO Mortgage Opportunities and Bond Fund,SWO,,2035-06-18
317U9M7A6 PIMCO FPPSWAPTION 4.44 PUT USD,50900000.0,USD,,,Put,Purchased,2035-06-18,2025-08-28,PIMCO Mortgage Opportunities and Bond Fund,SWO,,2035-06-18
317U9M8A5 PIMCO FPPSWAPTION 4.44 CALL USD,5600000.0,USD,,,Call,Purchased,2035-06-18,2025-08-28,PIMCO GNMA and Government Securities Fund,SWO,,2035-06-18
317U9M7A6 PIMCO FPPSWAPTION 4.44 PUT USD,5600000.0,USD,,,Put,Purchased,2035-06-18,2025-08-28,PIMCO GNMA and Government Securities Fund,SWO,,2035-06-18
317U9HJA4 PIMCO FPPSWAPTION 4.47 PUT USD,300000.0,USD,,,Put,Purchased,2035-06-04,2025-08-29,PIMCO Low Duration Opportunities Fund,SWO,,2035-06-04
317U9HKA2 PIMCO FPPSWAPTION 4.47 CALL USD,300000.0,USD,,,Call,Purchased,2035-06-04,2025-08-29,PIMCO Low Duration Opportunities Fund,SWO,,2035-06-04
317U9HKA2 PIMCO FPPSWAPTION 4.47 CALL USD,9800000.0,USD,,,Call,Purchased,2035-06-04,2025-08-29,PIMCO Dynamic Bond Fund,SWO,,2035-06-04
317U9HJA4 PIMCO FPPSWAPTION 4.47 PUT USD,9800000.0,USD,,,Put,Purchased,2035-06-04,2025-08-29,PIMCO Dynamic Bond Fund,SWO,,2035-06-04
317U9HKA2 PIMCO FPPSWAPTION 4.47 CALL USD,32600000.0,USD,,,Call,Purchased,2035-06-04,2025-08-28,PIMCO Mortgage Opportunities and Bond Fund,SWO,,2035-06-04
317U9HJA4 PIMCO FPPSWAPTION 4.47 PUT USD,32600000.0,USD,,,Put,Purchased,2035-06-04,2025-08-28,PIMCO Mortgage Opportunities and Bond Fund,SWO,,2035-06-04
317U9HJA4 PIMCO FPPSWAPTION 4.47 PUT USD,100000.0,USD,,,Put,Purchased,2035-06-04,2025-08-28,PIMCO Sector Fund Series - AM,SWO,,2035-06-04
317U9HKA2 PIMCO FPPSWAPTION 4.47 CALL USD,100000.0,USD,,,Call,Purchased,2035-06-04,2025-08-28,PIMCO Sector Fund Series - AM,SWO,,2035-06-04
317U9HJA4 PIMCO FPPSWAPTION 4.47 PUT USD,3500000.0,USD,,,Put,Purchased,2035-06-04,2025-08-28,PIMCO GNMA and Government Securities Fund,SWO,,2035-06-04
317U9HKA2 PIMCO FPPSWAPTION 4.47 CALL USD,3500000.0,USD,,,Call,Purchased,2035-06-04,2025-08-28,PIMCO GNMA and Government Securities Fund,SWO,,2035-06-04
317U9EFA5 PIMCO FPPSWAPTION 4.52 CALL USD,35700000.0,USD,,,Call,Purchased,2035-05-29,2025-08-28,PIMCO Mortgage Opportunities and Bond Fund,SWO,,2035-05-29
317U9EEA6 PIMCO FPPSWAPTION 4.52 PUT USD,35700000.0,USD,,,Put,Purchased,2035-05-29,2025-08-28,PIMCO Mortgage Opportunities and Bond Fund,SWO,,2035-05-29
317U9EFA5 PIMCO FPPSWAPTION 4.52 CALL USD,3900000.0,USD,,,Call,Purchased,2035-05-29,2025-08-28,PIMCO GNMA and Government Securities Fund,SWO,,2035-05-29
317U9EEA6 PIMCO FPPSWAPTION 4.52 PUT USD,3900000.0,USD,,,Put,Purchased,2035-05-29,2025-08-28,PIMCO GNMA and Government Securities Fund,SWO,,2035-05-29
317U9CWA0 PIMCO FPPSWAPTION 4.63 CALL USD,35800000.0,USD,,,Call,Purchased,2035-05-22,2025-08-28,PIMCO Mortgage Opportunities and Bond Fund,SWO,,2035-05-22
317U9CVA1 PIMCO FPPSWAPTION 4.63 PUT USD,35800000.0,USD,,,Put,Purchased,2035-05-22,2025-08-28,PIMCO Mortgage Opportunities and Bond Fund,SWO,,2035-05-22
317U9CWA0 PIMCO FPPSWAPTION 4.63 CALL USD,3800000.0,USD,,,Call,Purchased,2035-05-22,2025-08-28,PIMCO GNMA and Government Securities Fund,SWO,,2035-05-22
317U9CVA1 PIMCO FPPSWAPTION 4.63 PUT USD,3800000.0,USD,,,Put,Purchased,2035-05-22,2025-08-28,PIMCO GNMA and Government Securities Fund,SWO,,2035-05-22
317U9B8A9 PIMCO FPPSWAPTION 4.43 CALL USD,34900000.0,USD,,,Call,Purchased,2035-05-16,2025-08-28,PIMCO Mortgage Opportunities and Bond Fund,SWO,,2035-05-16
317U9B7A0 PIMCO FPPSWAPTION 4.43 PUT USD,34900000.0,USD,,,Put,Purchased,2035-05-16,2025-08-28,PIMCO Mortgage Opportunities and Bond Fund,SWO,,2035-05-16
317U9B8A9 PIMCO FPPSWAPTION 4.43 CALL USD,200000.0,USD,,,Call,Purchased,2035-05-16,2025-08-28,PIMCO Sector Fund Series - AM,SWO,,2035-05-16
